bit16,bit24,bit16_hex,bit24_hex
0011110001011100,100000000000001111101010,3C5C,8003EA
0011110001011100,100000000000001111101100,3C5C,8003EC
0011110001011100,100000000000001111101111,3C5C,8003EF
0011110001011100,100000000000001111110001,3C5C,8003F1
0011110001011100,100000000000001111110100,3C5C,8003F4
0011110001011100,100000000000001111110110,3C5C,8003F6
0011110001011100,100000000000001111111001,3C5C,8003F9
0011110001011100,100000000000001111111011,3C5C,8003FB
0011110001011100,100000000000001111111110,3C5C,8003FE
0011110001011100,100000000000010000000000,3C5C,800400
0011110001011100,100000000000010000000011,3C5C,800403
0011110001011100,100000000000010000000101,3C5C,800405
0011110001011100,100000000000010000001000,3C5C,800408
0011110001011100,100000000000010000001010,3C5C,80040A
0011110001011100,100000000000010000001101,3C5C,80040D
0011110001011100,100000000000010000001111,3C5C,80040F
0011110001011100,100000000000010000010010,3C5C,800412
0011110001011100,100000000000010000010100,3C5C,800414
0011110001011100,100000000000010000010111,3C5C,800417
0011110001011100,100000000000010000011001,3C5C,800419
0011110001011100,100000000000010000011100,3C5C,80041C
0011110001011100,100000000000010000011110,3C5C,80041E
0011110001011100,100000000000010000100001,3C5C,800421
0011110001011100,100000000000010000100011,3C5C,800423
0011110001011100,100000000000010000100110,3C5C,800426
0011110001011100,100000000000010000101000,3C5C,800428
0011110001011100,100000000000010000101011,3C5C,80042B
0011110001011100,100000000000010000101101,3C5C,80042D
0011110001011100,100000000000010000110000,3C5C,800430
0011110001011100,100000000000010000110010,3C5C,800432
0011110001011100,100000000000010000110101,3C5C,800435
0011110001011100,100000000000010000110111,3C5C,800437
0011110001011100,100000000000010000111010,3C5C,80043A
0011110001011100,100000000000010000111100,3C5C,80043C
0011110001011100,100000000000010000111111,3C5C,80043F
0011110001011100,100000000000010001000001,3C5C,800441
0011110001011100,100000000000010001000100,3C5C,800444
0011110001011100,100000000000010001000110,3C5C,800446
0011110001011100,100000000000010001001001,3C5C,800449
0011110001011100,100000000000010001001011,3C5C,80044B
0011110001011100,100000000000010001001110,3C5C,80044E
0011110001011100,100000000000010001010000,3C5C,800450
0011110001011100,100000000000010001010011,3C5C,800453
0011110001011100,100000000000010001010101,3C5C,800455
0011110001011100,100000000000010001011000,3C5C,800458
0011110001011100,100000000000010001011010,3C5C,80045A
0011110001011100,100000000000010001011101,3C5C,80045D
0011110001011100,100000000000010001011111,3C5C,80045F
0011110001011100,100000000000010001100010,3C5C,800462
0011110001011100,100000000000010001100100,3C5C,800464
0011110001011100,100000000000010001100111,3C5C,800467
0011110001011100,100000000000010001101001,3C5C,800469
0011110001011100,100000000000010001101100,3C5C,80046C
0011110001011100,100000000000010001101110,3C5C,80046E
0011110001011100,100000000000010001110001,3C5C,800471
0011110001011100,100000000000010001110011,3C5C,800473
0011110001011100,100000000000010001110110,3C5C,800476
0011110001011100,100000000000010001111000,3C5C,800478
0011110001011100,100000000000010001111011,3C5C,80047B
0011110001011100,100000000000010001111101,3C5C,80047D
0011110001011100,100000000000010010000000,3C5C,800480
0011110001011100,100000000000010010000010,3C5C,800482
0011110001011100,100000000000010010000101,3C5C,800485
0011110001011100,100000000000010010000111,3C5C,800487
0011110001011100,100000000000010010001010,3C5C,80048A
0011110001011100,100000000000010010001100,3C5C,80048C
0011110001011100,100000000000010010001111,3C5C,80048F
0011110001011100,100000000000010010010001,3C5C,800491
0011110001011100,100000000000010010010100,3C5C,800494
0011110001011100,100000000000010010010110,3C5C,800496
0011110001011100,100000000000010010011001,3C5C,800499
0011110001011100,100000000000010010011011,3C5C,80049B
0011110001011100,100000000000010010011110,3C5C,80049E
0011110001011100,100000000000010010100000,3C5C,8004A0
0011110001011100,100000000000010010100011,3C5C,8004A3
0011110001011100,100000000000010010100101,3C5C,8004A5
0011110001011100,100000000000010010101000,3C5C,8004A8
0011110001011100,100000000000010010101010,3C5C,8004AA
0011110001011100,100000000000010010101101,3C5C,8004AD
0011110001011100,100000000000010010101111,3C5C,8004AF
0011110001011100,100000000000010010110010,3C5C,8004B2
0011110001011100,100000000000010010110100,3C5C,8004B4
0011110001011100,100000000000010010110111,3C5C,8004B7
0011110001011100,100000000000010010111001,3C5C,8004B9
0011110001011100,100000000000010010111100,3C5C,8004BC
0011110001011100,100000000000010010111110,3C5C,8004BE
0011110001011100,100000000000010011000001,3C5C,8004C1
0011110001011100,100000000000010011000011,3C5C,8004C3
0011110001011100,100000000000010011000110,3C5C,8004C6
0011110001011100,100000000000010011001000,3C5C,8004C8
0011110001011100,100000000000010011001011,3C5C,8004CB
0011110001011100,100000000000010011001101,3C5C,8004CD
0011110001011100,100000000000010011010000,3C5C,8004D0
0011110001011100,100000000000010011010010,3C5C,8004D2
0011110001011100,100000000000010011010101,3C5C,8004D5
0011110001011100,100000000000010011010111,3C5C,8004D7
0011110001011100,100000000000010011011010,3C5C,8004DA
0011110001011100,100000000000010011011100,3C5C,8004DC
